Catégorie,Message
Problèmes d'expédition,Mon colis est marqué comme livré mais je n'ai rien reçu. Pouvez-vous m'aider ?
Aide Technique,J'ai un message d'erreur 'Error 404' sur l'écran principal. Cordialement.
Facturation,Le code promo n'a pas été appliqué sur ma facture finale. Quel est le problème ?
Facturation,Mon abonnement a été renouvelé sans mon accord. Merci d'avance.
Aide Technique,Ma batterie se décharge beaucoup trop vite. Quel est le problème ?
Facturation,Pourquoi ai-je des frais supplémentaires ce mois-ci ?
Facturation,Le montant sur ma facture ne correspond pas au prix affiché. Quel est le problème ?
Aide Technique,La mise à jour a échoué trois fois de suite. Merci d'avance.
Problèmes d'expédition,Le livreur n'est jamais passé malgré l'avis de passage. Quel est le problème ?
Problèmes d'expédition,Il manque un article dans ma commande reçue ce matin. Cordialement.
Aide Technique,Le logiciel est extrêmement lent sur mon ordinateur. Quel est le problème ?
Problèmes d'expédition,Le colis a été envoyé à la mauvaise ville. C'est urgent !
Aide Technique,Comment faire pour réinitialiser mon mot de passe ? Cordialement.
Facturation,Mon abonnement a été renouvelé sans mon accord.
Facturation,Pouvez-vous m'envoyer un duplicata de ma facture de janvier ? Cordialement.
Problèmes d'expédition,Le livreur n'est jamais passé malgré l'avis de passage. Merci d'avance.
Facturation,Pouvez-vous m'envoyer un duplicata de ma facture de janvier ?
Problèmes d'expédition,Le livreur n'est jamais passé malgré l'avis de passage. Quel est le problème ?
Aide Technique,L'application plante à chaque fois que je tente de me connecter. Quel est le problème ?
"Problèmes d'expédition,""Délais de livraison non respectés, je souhaite un remboursement. Pouvez-vous m'aider ?"""
Facturation,Je souhaite recevoir une facture avec la TVA apparente. Cordialement.
Facturation,J'ai été prélevé deux fois pour le même achat. Quel est le problème ?
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ? Merci d'avance.
Problèmes d'expédition,Le livreur n'est jamais passé malgré l'avis de passage. Pouvez-vous m'aider ?
Facturation,Le montant sur ma facture ne correspond pas au prix affiché. Quel est le problème ?
Facturation,Je n'arrive pas à mettre à jour mes coordonnées bancaires.
Facturation,Je n'arrive pas à mettre à jour mes coordonnées bancaires. Quel est le problème ?
"Aide Technique,""Le clavier ne répond plus, que faire ? Pouvez-vous m'aider ?"""
Problèmes d'expédition,J'ai reçu un article cassé dans mon carton. C'est urgent !
Facturation,Pouvez-vous m'envoyer un duplicata de ma facture de janvier ? Pouvez-vous m'aider ?
Problèmes d'expédition,Le suivi de ma commande n'a pas bougé depuis 4 jours. Quel est le problème ?
Facturation,Je demande le remboursement immédiat de ma commande annulée. Pouvez-vous m'aider ?
Facturation,Je n'arrive pas à mettre à jour mes coordonnées bancaires. Cordialement.
Facturation,Je demande le remboursement immédiat de ma commande annulée. Quel est le problème ?
Problèmes d'expédition,Je n'ai toujours pas reçu mon numéro de suivi. Cordialement.
Facturation,Je souhaite recevoir une facture avec la TVA apparente. C'est urgent !
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ? Quel est le problème ?
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ? C'est urgent !
Facturation,Mon abonnement a été renouvelé sans mon accord. Pouvez-vous m'aider ?
Facturation,Mon paiement est refusé alors que mon compte est approvisionné.
Facturation,Le montant sur ma facture ne correspond pas au prix affiché. Merci d'avance.
Problèmes d'expédition,J'ai reçu un article cassé dans mon carton. Cordialement.
Aide Technique,Le Wi-Fi ne semble pas fonctionner sur mon boîtier. Merci d'avance.
Problèmes d'expédition,Mon colis est marqué comme livré mais je n'ai rien reçu. Pouvez-vous m'aider ?
Aide Technique,Je n'arrive pas à synchroniser mes données avec le cloud.
Facturation,Je demande le remboursement immédiat de ma commande annulée.
Problèmes d'expédition,Mon colis est marqué comme livré mais je n'ai rien reçu. C'est urgent !
Aide Technique,Le Wi-Fi ne semble pas fonctionner sur mon boîtier.
Facturation,Pouvez-vous m'envoyer un duplicata de ma facture de janvier ? Quel est le problème ?
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ?
Facturation,Pouvez-vous m'envoyer un duplicata de ma facture de janvier ?
Problèmes d'expédition,Il manque un article dans ma commande reçue ce matin. Cordialement.
Facturation,Pouvez-vous m'envoyer un duplicata de ma facture de janvier ? Cordialement.
Facturation,Mon abonnement a été renouvelé sans mon accord.
Aide Technique,La mise à jour a échoué trois fois de suite. Cordialement.
Problèmes d'expédition,J'ai reçu un article cassé dans mon carton. Merci d'avance.
Aide Technique,Le logiciel est extrêmement lent sur mon ordinateur. Quel est le problème ?
Facturation,Pouvez-vous m'envoyer un duplicata de ma facture de janvier ? Quel est le problème ?
Facturation,Le code promo n'a pas été appliqué sur ma facture finale. Quel est le problème ?
Facturation,Je n'arrive pas à mettre à jour mes coordonnées bancaires. Pouvez-vous m'aider ?
Facturation,Pourquoi ai-je des frais supplémentaires ce mois-ci ? C'est urgent !
Problèmes d'expédition,Le suivi de ma commande n'a pas bougé depuis 4 jours. Cordialement.
Problèmes d'expédition,Je n'ai toujours pas reçu mon numéro de suivi. Pouvez-vous m'aider ?
Aide Technique,Mon appareil ne s'allume plus depuis ce matin.
Facturation,Je demande le remboursement immédiat de ma commande annulée. Quel est le problème ?
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ? Merci d'avance.
Aide Technique,J'ai un message d'erreur 'Error 404' sur l'écran principal.
Problèmes d'expédition,Le livreur n'est jamais passé malgré l'avis de passage. Quel est le problème ?
Problèmes d'expédition,Mon colis est marqué comme livré mais je n'ai rien reçu. Merci d'avance.
Problèmes d'expédition,Le suivi de ma commande n'a pas bougé depuis 4 jours. Cordialement.
Facturation,Le code promo n'a pas été appliqué sur ma facture finale. Cordialement.
Problèmes d'expédition,Le colis a été envoyé à la mauvaise ville.
"Problèmes d'expédition,""Délais de livraison non respectés, je souhaite un remboursement. Pouvez-vous m'aider ?"""
Problèmes d'expédition,J'ai reçu un article cassé dans mon carton. Merci d'avance.
Facturation,Je demande le remboursement immédiat de ma commande annulée.
Aide Technique,Mon appareil ne s'allume plus depuis ce matin. Quel est le problème ?
Aide Technique,J'ai un message d'erreur 'Error 404' sur l'écran principal. C'est urgent !
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ? Cordialement.
Problèmes d'expédition,Le suivi de ma commande n'a pas bougé depuis 4 jours. Quel est le problème ?
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ? Quel est le problème ?
Facturation,Je n'arrive pas à mettre à jour mes coordonnées bancaires. Merci d'avance.
Facturation,Je n'arrive pas à mettre à jour mes coordonnées bancaires. Cordialement.
Aide Technique,La mise à jour a échoué trois fois de suite. C'est urgent !
Facturation,Je demande le remboursement immédiat de ma commande annulée. Pouvez-vous m'aider ?
Problèmes d'expédition,Il manque un article dans ma commande reçue ce matin. C'est urgent !
Facturation,Pouvez-vous m'envoyer un duplicata de ma facture de janvier ? Cordialement.
Aide Technique,Le logiciel est extrêmement lent sur mon ordinateur. Pouvez-vous m'aider ?
Problèmes d'expédition,Le livreur n'est jamais passé malgré l'avis de passage. C'est urgent !
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ? Merci d'avance.
Problèmes d'expédition,J'ai reçu un article cassé dans mon carton. Quel est le problème ?
Facturation,Je demande le remboursement immédiat de ma commande annulée. Cordialement.
"Problèmes d'expédition,""Délais de livraison non respectés, je souhaite un remboursement. Merci d'avance."""
Aide Technique,Je n'arrive pas à synchroniser mes données avec le cloud.
Problèmes d'expédition,Est-il possible de modifier l'adresse de livraison ? C'est urgent !
Aide Technique,L'application plante à chaque fois que je tente de me connecter.
Problèmes d'expédition,Le carton est arrivé complètement écrasé.
Problèmes d'expédition,Le suivi de ma commande n'a pas bougé depuis 4 jours. Cordialement.
Aide Technique,Le Wi-Fi ne semble pas fonctionner sur mon boîtier.
Facturation,Le montant sur ma facture ne correspond pas au prix affiché. C'est urgent !
